8197	U3794	news_5680 news_1586 news_1450 news_3646 news_146 news_1013 news_2447	news_6272-0 news_6620-0 news_1254-0 news_1176-1 news_101-0 news_133-0
1477	U1850	news_2738 news_1399 news_5735	news_6106-0 news_5211-0 news_4740-0 news_7492-0 news_6309-1 news_1672-0
9093	U4168	news_199 news_3993 news_1687	news_6509-0 news_2669-1 news_2902-0 news_6629-0 news_991-0 news_2769-0
14734	U6504	news_6128 news_2089	news_2951-0 news_3561-1 news_6249-0 news_4198-0 news_7773-0 news_996-0
13146	U54	news_834 news_3997 news_554 news_1219	news_5488-1 news_906-0 news_6653-0 news_6277-0 news_4982-0 news_2631-0
16552	U1216	news_5978 news_6257 news_6273 news_1191	news_6277-0 news_4598-0 news_8092-0 news_2399-0 news_6402-0 news_1696-1
1548	U2840	news_5521 news_692 news_1340 news_4802 news_1090 news_2726 news_2486 news_5849 news_3665 news_1202	news_1189-0 news_7069-0 news_8292-0 news_7865-0 news_4048-1 news_4279-0
7597	U3582	news_902 news_3329 news_2653 news_6605 news_5348 news_4917 news_2805 news_630	news_4052-0 news_123-1 news_5476-0 news_7502-0 news_5073-0 news_346-0
5280	U2729	news_2589 news_226 news_5149 news_8309 news_1479	news_2064-0 news_1938-0 news_6361-0 news_6327-0 news_1913-1 news_645-0
12516	U5607	news_5039 news_7667 news_2075 news_264 news_1942 news_6060 news_5225 news_6687	news_6280-0 news_5192-0 news_6480-1 news_2347-0 news_6620-0 news_1445-0
5423	U245		news_3555-0 news_3910-0 news_6067-0 news_398-0 news_420-0 news_1255-1
11611	U5220	news_8429 news_2095 news_4035 news_5286 news_5160	news_6272-0 news_1291-0 news_7680-1 news_148-0 news_6437-0 news_1087-0
5027	U2648	news_5460 news_5891 news_8073 news_8617 news_7050 news_610	news_2556-0 news_6850-1 news_434-0 news_4306-0 news_8292-0 news_5015-0
3577	U2111	news_4271 news_2875	news_286-0 news_772-0 news_354-0 news_800-0 news_919-0 news_295-1
14156	U6278	news_1246 news_6865 news_4705 news_1694	news_789-0 news_1325-0 news_6536-0 news_6390-1 news_982-0 news_661-0
12791	U5722	news_6902 news_6819 news_391 news_267 news_2767	news_980-0 news_4224-0 news_7822-0 news_5299-0 news_7332-0 news_7764-1
1406	U4714	news_2771 news_1169 news_1905 news_1659 news_2724 news_145	news_1946-0 news_1831-1 news_7755-0 news_6321-0 news_7861-0 news_1943-0
239	U50	news_932 news_7568 news_8042	news_4765-0 news_6643-1 news_4998-0 news_5311-0 news_2358-0 news_1560-0
13089	U5836	news_5169	news_4982-0 news_6570-0 news_8357-0 news_5176-0 news_4988-0 news_5054-1
2665	U1776	news_6187 news_1427	news_148-0 news_4224-1 news_2595-0 news_5601-0 news_1721-0 news_7564-0
12233	U5483	news_5813 news_8561 news_4724 news_5471 news_7512	news_7090-0 news_1174-1 news_7080-0 news_8051-0 news_3908-0 news_7558-0
703	U5363	news_8590 news_351	news_2690-0 news_8046-0 news_3386-0 news_2016-1 news_4758-0 news_644-0
1550	U2292	news_7909 news_6524 news_317 news_3111 news_6849 news_4037 news_360 news_7583 news_6197 news_6420	news_6092-0 news_8432-0 news_396-1 news_1115-0 news_2521-0 news_6035-0
10655	U4834	news_3935 news_6317 news_7588 news_1162 news_4678 news_6001	news_165-0 news_8158-0 news_984-0 news_5124-0 news_2387-1 news_7634-0
6967	U3328	news_4584 news_1694 news_4856 news_8243 news_5613	news_8510-0 news_1035-1 news_396-0 news_836-0 news_6778-0 news_8414-0
16657	U1255	news_1473 news_310 news_6222 news_4607 news_1768	news_6521-1 news_6515-0 news_1723-0 news_1806-0 news_772-0 news_6735-0
11850	U5313	news_6379 news_5897 news_1287 news_8120	news_982-0 news_5032-0 news_5916-0 news_4224-0 news_6568-0 news_588-1
11970	U5368	news_6247 news_1817 news_8459 news_1590 news_5878 news_3582 news_2735	news_4323-0 news_2556-1 news_6510-0 news_6790-0 news_5513-0 news_8409-0
15020	U619	news_4093 news_5284 news_6173 news_2410 news_1749	news_2738-0 news_1390-0 news_283-0 news_5178-0 news_4671-1 news_8334-0
452	U6022	news_1217 news_3538 news_6349	news_5703-0 news_1256-1 news_5120-0 news_2448-0 news_5270-0 news_369-0
1931	U138	news_2649 news_7710 news_5272 news_1934 news_7068 news_1151	news_823-1 news_2570-0 news_299-0 news_1276-0 news_6054-0 news_8155-0
16944	U1379	news_5357 news_2438 news_5451 news_8264 news_6106 news_2282	news_6519-0 news_5871-1 news_1413-0 news_7834-0 news_2463-0 news_1244-0
8290	U346	news_2814 news_1665 news_874 news_6034	news_3914-0 news_1262-0 news_1833-0 news_6280-1 news_1607-0 news_1115-0
2699	U1788	news_1212 news_1876	news_2571-1 news_5120-0 news_5160-0 news_888-0 news_2164-0 news_845-0
13019	U5807	news_4751 news_4014 news_2404 news_7150 news_6435 news_299 news_905 news_6265 news_7791 news_7088	news_2098-0 news_7082-1 news_99-0 news_2018-0 news_4033-0 news_557-0
8035	U3744	news_5720 news_383	news_7645-0 news_4199-1 news_4224-0 news_982-0 news_445-0 news_7469-0
4286	U2408	news_7829 news_345 news_5287	news_4698-0 news_7714-0 news_593-0 news_2701-1 news_4640-0 news_1646-0
15812	U941	news_2355 news_274 news_1447 news_1234 news_5179 news_6233 news_310 news_7822	news_1721-0 news_7884-1 news_5299-0 news_2927-0 news_6787-0 news_7778-0
4203	U2379	news_8570 news_3909 news_949 news_6603 news_7069 news_3993 news_7568 news_1442	news_5814-0 news_8376-0 news_6141-0 news_2721-0 news_2856-0 news_7229-1
2588	U1747	news_1467 news_6137 news_6669 news_7596 news_3922 news_2056 news_3925 news_990 news_7223 news_8512	news_8405-0 news_8362-0 news_1205-0 news_2490-0 news_2694-0 news_1235-1
665	U3070	news_7994 news_2945 news_8397 news_6154 news_1432 news_741 news_365	news_1878-1 news_6099-0 news_7542-0 news_1101-0 news_6436-0 news_5876-0
3993	U2278	news_6258 news_6667 news_7719 news_1658	news_4048-0 news_5372-0 news_8049-0 news_932-0 news_8292-1 news_7537-0
10622	U4821		news_1118-0 news_3538-1 news_1267-0 news_6673-0 news_1269-0 news_1831-0
7049	U3349	news_2713 news_7167 news_4077	news_5186-1 news_7692-0 news_5658-0 news_5041-0 news_5622-0 news_5398-0
10393	U4701	news_332 news_8006 news_6672	news_6543-0 news_1721-0 news_7692-1 news_1324-0 news_4284-0 news_7167-0
6547	U3178	news_6131 news_7836 news_7909 news_6745	news_1309-0 news_1596-1 news_2253-0 news_7587-0 news_801-0 news_1626-0
